	phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
6130	D006262	species	2741	626930	0.001493785	-0.103610702	1.46e-68	-0.528585401	27	125	785	11548	3.177049796	1.53e-06	2.001471595	4.88152045	Peptococcus niger	Bacteroides fluxus
6131	D006262	species	2741	626931	1.69e-05	-0.205867333	1.56e-95	-0.796428485	8	144	278	12055	2.40875605	0.023740464	1.010383565	4.940860127	Peptococcus niger	Bacteroides oleiciplenus
6132	D006262	species	2741	626932	0.00416061	-0.065035869	4.49e-33	-0.267217033	62	90	1788	10545	4.062356618	4.73e-15	2.87916502	5.699074651	Peptococcus niger	Alistipes indistinctus
6133	D006262	species	2741	626935	1.19e-05	-0.242153229	3.07e-79	-0.820542809	6	146	168	12165	2.975289536	0.019636082	1.059286801	6.770810467	Peptococcus niger	Collinsella tanakaei
6134	D006262	species	2741	626937	0.000135012	-0.099261957	1.4800000000000002e-43	-0.349338828	50	102	1322	11011	4.082539639	2.93e-13	2.836096274	5.811976433	Peptococcus niger	Christensenella minuta
6135	D006262	species	2741	626947	0.001000375	-0.210235917	4.48e-49	-0.771694711	9	143	90	12243	8.555485194	3.16e-06	3.716083804	17.43032423	Peptococcus niger	Parasutterella secunda
6136	D006262	species	2741	633701	0.000240597	-0.134872746	3.63e-79	-0.619014905	18	134	585	11748	2.697255247	0.000385172	1.540276502	4.466187993	Peptococcus niger	Prevotella saccharolytica
6137	D006262	species	2741	762210	0.000200012	-0.090400649	1.48e-63	-0.393292794	55	97	1536	10797	3.985445913	1.01e-13	2.796454036	5.62983071	Peptococcus niger	Bifidobacterium saguini
6138	D006262	species	2741	1161942	0.001056465	-0.083513569	5.73e-45	-0.34813457	53	99	1383	10950	4.238243387	2.43e-14	2.962287109	6.00447603	Peptococcus niger	Ruminococcus champanellensis
6139	D006262	species	2741	1291540	0.002745871	-0.227020749	3.17e-14	-0.536831329	3	149	20	12313	12.38636101	0.00262037	2.332100827	42.401094	Peptococcus niger	Candidatus Methanomethylophilus alvus
6140	D006262	species	2741	1465754	0.007553798	-0.071701999	3.0899999999999997e-55	-0.402771594	44	108	1235	11098	3.660338515	8.86e-11	2.504627677	5.271360764	Peptococcus niger	Alistipes timonensis
6141	D006262	species	2741	1755610	8.58e-09	-0.337808175	2.9700000000000002e-58	-0.782244127	13	139	124	12209	9.202570996	1.13e-08	4.652259146	16.84006789	Peptococcus niger	Alistipes sp. MC_19
6142	D006262	species	2741	1755629	8.6e-06	-0.243662342	9.02e-69	-0.782962855	11	141	174	12159	5.449811572	1.59e-05	2.611962858	10.29303547	Peptococcus niger	Victivallis sp. MC_44
6343	D006262	species	28111	29348	6.9e-10	-0.091863746	0.0	-0.652078381	547	1631	2314	7993	1.15841976	0.007685058	1.038516173	1.291001383	Bacteroides eggerthii	[Clostridium] spiroforme
6344	D006262	species	28111	29361	0.00102573	-0.067163112	5.32e-93	-0.401185284	66	2112	209	10098	1.509809585	0.004881119	1.122406893	2.008831979	Bacteroides eggerthii	Tyzzerella nexilis
6345	D006262	species	28111	29375	2.81e-07	-0.095532727	0.0	-0.65747229	182	1996	701	9606	1.249473577	0.011376774	1.048156145	1.483801423	Bacteroides eggerthii	[Clostridium] xylanolyticum
6346	D006262	species	28111	29552	0.003937017	-0.059708604	1.09e-80	-0.379475143	76	2102	152	10155	2.415338586	5.16e-09	1.801767799	3.215368514	Bacteroides eggerthii	Acholeplasma axanthum
6347	D006262	species	28111	33039	5.66e-07	-0.06480667	1e-299	-0.453494958	915	1263	3770	6537	1.256145605	2.28e-06	1.142003534	1.381432886	Bacteroides eggerthii	[Ruminococcus] torques
6348	D006262	species	28111	33953	0.011160096	-0.053959229	6.05e-15	-0.164898659	15	2163	33	10274	2.158893493	0.020007703	1.087526102	4.095750581	Bacteroides eggerthii	Clostridium aminobutyricum
6349	D006262	species	28111	35517	0.000758354	-0.070912978	4.5099999999999996e-42	-0.280776436	31	2147	74	10233	1.996588674	0.002629914	1.26501418	3.084108677	Bacteroides eggerthii	[Eubacterium] brachy
6350	D006262	species	28111	35833	1.4e-12	-0.118961135	0.0	-0.6613277	379	1799	1345	8962	1.403711102	1.94e-07	1.235675671	1.592239115	Bacteroides eggerthii	Bilophila wadsworthia
6351	D006262	species	28111	38986	0.001727514	-0.06530316	5.62e-75	-0.368682819	50	2128	122	10185	1.961516863	0.00015496	1.377417371	2.7574025	Bacteroides eggerthii	Acholeplasma palmae
6352	D006262	species	28111	39490	3.8900000000000003e-22	-0.149640286	0.0	-0.649270484	513	1665	1957	8350	1.31458502	1.84e-06	1.174555004	1.469822941	Bacteroides eggerthii	Eubacterium ramulus
6353	D006262	species	28111	39492	9.59e-10	-0.086122835	1.19e-260	-0.459126831	967	1211	2849	7458	2.09020519	4.26e-51	1.898685963	2.300899716	Bacteroides eggerthii	[Eubacterium] siraeum
6354	D006262	species	28111	39497	4.8000000000000006e-21	-0.169125227	0.0	-0.666838159	249	1929	878	9429	1.386199018	2.63e-05	1.189302735	1.611536376	Bacteroides eggerthii	Eubacterium xylanophilum
6355	D006262	species	28111	40518	1.53e-12	-0.084880049	3.45e-135	-0.291101535	1382	796	4740	5567	2.039001148	4.9e-50	1.851639317	2.246245556	Bacteroides eggerthii	Ruminococcus bromii
6356	D006262	species	28111	40520	1.46e-20	-0.101555777	2.29e-110	-0.240878515	1596	582	6160	4147	1.846041206	2.37e-33	1.664339704	2.049439704	Bacteroides eggerthii	Blautia obeum
6357	D006262	species	28111	40545	0.000193638	-0.067023683	8.16e-201	-0.506378439	327	1851	910	9397	1.824077637	7.06e-17	1.587332766	2.092886316	Bacteroides eggerthii	Sutterella wadsworthensis
6358	D006262	species	28111	44742	0.001611606	-0.066363003	1.03e-42	-0.282667973	31	2147	78	10229	1.893321966	0.00481816	1.203487156	2.913331134	Bacteroides eggerthii	Desulfovibrio fairfieldensis
6359	D006262	species	28111	46228	2.33e-12	-0.112527519	0.0	-0.626386264	471	1707	1684	8623	1.412832252	7.33e-09	1.257003334	1.586209176	Bacteroides eggerthii	Ruminococcus lactaris
6360	D006262	species	28111	47246	0.000162943	-0.077488903	9.46e-107	-0.429611796	120	2058	185	10122	3.189891037	6.15e-20	2.500993189	4.056201144	Bacteroides eggerthii	[Clostridium] viride
6361	D006262	species	28111	47678	0.000728826	-0.039563464	8.26e-71	-0.206180899	1582	596	5111	5196	2.698305081	1.35e-88	2.434947591	2.992822114	Bacteroides eggerthii	Bacteroides caccae
6362	D006262	species	28111	77095	0.00122346	-0.068260232	7.45e-39	-0.270418633	62	2116	63	10244	4.763568552	1.33e-16	3.289151733	6.898544705	Bacteroides eggerthii	Prevotella bryantii
6363	D006262	species	28111	84030	4.45e-15	-0.121603207	0.0	-0.683451674	461	1717	1952	8355	1.14916505	0.018288405	1.023013048	1.289345141	Bacteroides eggerthii	[Clostridium] saccharolyticum
6364	D006262	species	28111	84032	3.66e-08	-0.108399496	4.86e-197	-0.543141328	135	2043	390	9917	1.680193812	1.27e-06	1.363170585	2.061115569	Bacteroides eggerthii	[Clostridium] thermosuccinogenes
6365	D006262	species	28111	85831	0.000654117	-0.069005134	8.8e-155	-0.500727701	74	2104	258	10049	1.369861576	0.022792636	1.038661238	1.788540406	Bacteroides eggerthii	Bacteroides acidifaciens
6366	D006262	species	28111	89153	0.001559871	-0.066680879	3.0299999999999996e-42	-0.281594097	32	2146	70	10237	2.18054068	0.000549985	1.38467652	3.367918949	Bacteroides eggerthii	[Clostridium] hylemonae
6367	D006262	species	28111	100176	0.000257787	-0.077279079	9.56e-32	-0.244526336	50	2128	54	10253	4.460507385	5.51e-13	2.965376602	6.698909787	Bacteroides eggerthii	Papillibacter cinnamivorans
6368	D006262	species	28111	100886	1.08e-06	-0.097959268	8.179999999999999e-168	-0.515730198	95	2083	290	10017	1.575270873	0.000282994	1.230025428	2.002974266	Bacteroides eggerthii	Catenibacterium mitsuokai
6369	D006262	species	28111	114527	9.35e-05	-0.081550635	2.2200000000000002e-66	-0.348501	44	2134	112	10195	1.876666121	0.000888027	1.288786734	2.691603895	Bacteroides eggerthii	Mogibacterium diversum
6370	D006262	species	28111	114528	0.010279121	-0.054555194	2.9199999999999997e-23	-0.209028489	15	2163	34	10273	2.095218192	0.022106592	1.058361229	3.959408626	Bacteroides eggerthii	Mogibacterium neglectum
6371	D006262	species	28111	169435	3.42e-08	-0.082425215	1.03e-290	-0.507062573	830	1348	2292	8015	2.153024223	7.42e-51	1.948977928	2.377746874	Bacteroides eggerthii	Anaerotruncus colihominis
6372	D006262	species	28111	185293	0.001096389	-0.067259064	1.3300000000000002e-85	-0.388445527	110	2068	175	10132	3.079261941	9.93e-18	2.39182748	3.950523358	Bacteroides eggerthii	Prevotella oryzae
6373	D006262	species	28111	187327	9.56e-15	-0.123222644	0.0	-0.672348065	431	1747	1745	8562	1.210499841	0.001683253	1.073847638	1.362657308	Bacteroides eggerthii	Acidaminococcus intestini
6374	D006262	species	28111	189722	0.007301658	-0.056146136	3.8999999999999996e-60	-0.332779718	48	2130	104	10203	2.210668701	2.03e-05	1.531436813	3.152019961	Bacteroides eggerthii	Prevotella marshii
6375	D006262	species	28111	204516	1.37e-11	-0.092402436	1.8699999999999997e-263	-0.449369131	1070	1108	3155	7152	2.189000762	2.0500000000000002e-59	1.990596824	2.407199525	Bacteroides eggerthii	Bacteroides massiliensis
6376	D006262	species	28111	214856	9.35e-09	-0.081060673	0.0	-0.510818548	845	1333	2826	7481	1.677937118	3.58e-25	1.521694703	1.849847507	Bacteroides eggerthii	Alistipes finegoldii
6377	D006262	species	28111	216940	0.003679698	-0.06145263	3.7200000000000003e-29	-0.234065782	25	2153	54	10253	2.204555893	0.002473917	1.311454161	3.613547	Bacteroides eggerthii	Spiroplasma lampyridicola
6378	D006262	species	28111	216945	1.26e-11	-0.132280454	3.33e-260	-0.605632834	112	2066	423	9884	1.266692242	0.031278654	1.013650695	1.572552832	Bacteroides eggerthii	Spiroplasma syrphidicola
6379	D006262	species	28111	228603	0.002040152	-0.061147582	1.5300000000000002e-212	-0.563004504	113	2065	364	9943	1.494714053	0.000435037	1.193004564	1.861391553	Bacteroides eggerthii	Prevotella shahii
6380	D006262	species	28111	253239	0.003619953	-0.060843187	1.1299999999999999e-68	-0.354599303	50	2128	107	10200	2.239653763	1.03e-05	1.562552059	3.172891591	Bacteroides eggerthii	Ethanoligenens harbinense
6381	D006262	species	28111	288965	1.17e-16	-0.147502853	0.0	-0.683919673	292	1886	946	9361	1.531987922	7.5e-09	1.326776323	1.765308939	Bacteroides eggerthii	[Clostridium] clariflavum
6382	D006262	species	28111	308994	1.57e-05	-0.085807584	8.59e-214	-0.565747049	130	2048	349	9958	1.811050497	7.38e-08	1.460835206	2.234607328	Bacteroides eggerthii	Dialister propionicifaciens
6383	D006262	species	28111	310297	3.47e-14	-0.132212824	0.0	-0.638479754	423	1755	1082	9225	2.054830517	3.61e-28	1.811631269	2.328084429	Bacteroides eggerthii	Bacteroides plebeius
6384	D006262	species	28111	310300	0.006791082	-0.057358658	1.6500000000000002e-26	-0.223110526	36	2142	48	10259	3.59157656	4.38e-08	2.258686056	5.665324483	Bacteroides eggerthii	Bacteroides pyogenes
6385	D006262	species	28111	328812	0.00055507	-0.066306011	3.6599999999999997e-134	-0.448505155	340	1838	530	9777	3.411977368	6.15e-56	2.941926911	3.953354327	Bacteroides eggerthii	Parabacteroides goldsteinii
6386	D006262	species	28111	338188	0.000355253	-0.063311242	1.01e-276	-0.572926451	322	1856	1000	9307	1.614611956	1.65e-11	1.405975953	1.850885913	Bacteroides eggerthii	Bacteroides finegoldii
6387	D006262	species	28111	351091	1.07e-21	-0.125827629	6.340000000000001e-223	-0.402795803	1066	1112	3563	6744	1.814451743	1.29e-35	1.650895922	1.993968606	Bacteroides eggerthii	Oscillibacter valericigenes
6388	D006262	species	28111	357276	0.007023651	-0.03302941	8.54e-180	-0.339928371	1269	909	4482	5825	1.814222464	4.34e-36	1.650459355	1.994814761	Bacteroides eggerthii	Bacteroides dorei
6389	D006262	species	28111	360807	1.03e-08	-0.081413234	0.0	-0.521832475	810	1368	2755	7552	1.622962495	7.09e-22	1.470566828	1.790556787	Bacteroides eggerthii	Roseburia inulinivorans
6390	D006262	species	28111	376804	0.034940124	-0.04331583	3.39e-99	-0.414676273	88	2090	193	10114	2.206325202	9.95e-09	1.687056265	2.866726411	Bacteroides eggerthii	Bacteroides barnesiae
6391	D006262	species	28111	376806	0.023694532	-0.047954648	3.27e-22	-0.203426765	50	2128	47	10260	5.128300309	1.66e-14	3.364196782	7.82909887	Bacteroides eggerthii	Bacteroides gallinarum
6392	D006262	species	28111	395922	0.001240934	-0.068511574	4e-22	-0.203271551	62	2116	41	10266	7.334750226	2.36e-22	4.850363297	11.19575445	Bacteroides eggerthii	Coraliomargarita akajimensis
6393	D006262	species	28111	397865	6.9e-09	-0.089959618	0.0	-0.576098023	681	1497	1955	8352	1.943348053	8.250000000000001e-35	1.750004353	2.156815503	Bacteroides eggerthii	Barnesiella viscericola
6394	D006262	species	28111	411489	4.15e-07	-0.103061861	3.04e-104	-0.421806173	81	2097	224	10083	1.738621576	6.33e-05	1.325517662	2.261990272	Bacteroides eggerthii	Clostridium sp. L2-50
6395	D006262	species	28111	437897	0.013347388	-0.052169228	2.4899999999999998e-39	-0.271616187	29	2149	71	10236	1.945493184	0.004935997	1.2142677	3.044370753	Bacteroides eggerthii	Megamonas funiformis
6396	D006262	species	28111	477666	0.049262933	-0.041832253	7.48e-24	-0.21189493	18	2160	32	10275	2.675493092	0.002083508	1.411272181	4.922962124	Bacteroides eggerthii	Bacteroides graminisolvens
6397	D006262	species	28111	504487	0.002559622	-0.063572273	1.5099999999999998e-45	-0.292306061	26	2152	71	10236	1.741724466	0.021418576	1.063798197	2.772334367	Bacteroides eggerthii	Jejuia pallidilutea
6398	D006262	species	28111	508460	0.046829411	-0.042424525	9.63e-13	-0.151478748	17	2161	18	10289	4.495960978	2.25e-05	2.173344399	9.2620023	Bacteroides eggerthii	Cloacibacillus evryensis
6399	D006262	species	28111	520083	0.003766071	-0.060178	1.9999999999999997e-89	-0.399386461	49	2129	138	10169	1.695887898	0.00247666	1.194208128	2.374223947	Bacteroides eggerthii	Lactobacillus sp. KLDS 1.0716
6400	D006262	species	28111	574375	1.36e-07	-0.103789169	1.04e-214	-0.56301766	103	2075	390	9917	1.262193698	0.045456482	1.000539233	1.580797603	Bacteroides eggerthii	Bacillus gaemokensis
6401	D006262	species	28111	589436	3.3e-07	-0.101428197	6.03e-201	-0.551693081	93	2085	345	9962	1.287937064	0.039986044	1.008103684	1.632338874	Bacteroides eggerthii	Prevotella fusca
6402	D006262	species	28111	626929	8.34e-09	-0.111059741	5.69e-191	-0.526673036	167	2011	499	9808	1.632164084	3.22e-07	1.352558717	1.96208068	Bacteroides eggerthii	Bacteroides clarus
6403	D006262	species	28111	626930	9.18e-05	-0.073769771	1.7799999999999998e-243	-0.571884053	184	1994	628	9679	1.422163773	8.54e-05	1.191617124	1.691157769	Bacteroides eggerthii	Bacteroides fluxus
6404	D006262	species	28111	626931	0.001210275	-0.066108601	1.35e-81	-0.376732952	70	2108	216	10091	1.551278363	0.002625993	1.162471979	2.049306603	Bacteroides eggerthii	Bacteroides oleiciplenus
6405	D006262	species	28111	626947	0.027535166	-0.04653433	5.23e-34	-0.252666921	34	2144	65	10242	2.498485072	4.6e-05	1.595303474	3.851170847	Bacteroides eggerthii	Parasutterella secunda
6406	D006262	species	28111	633701	3.82e-06	-0.089841799	8.65e-266	-0.607462015	144	2034	459	9848	1.518902627	4.41e-05	1.24311531	1.847336219	Bacteroides eggerthii	Prevotella saccharolytica
6407	D006262	species	28111	658081	0.001153923	-0.061074146	4.86e-213	-0.539064917	216	1962	651	9656	1.632866625	9.87e-09	1.382864302	1.922580969	Bacteroides eggerthii	Lachnospiraceae bacterium 1_1_57FAA
6408	D006262	species	28111	658086	0.045330117	-0.041649828	3.28e-63	-0.33897378	44	2134	132	10175	1.589276285	0.011939253	1.099581311	2.259142402	Bacteroides eggerthii	Lachnospiraceae bacterium 3_1_57FAA_CT1
6409	D006262	species	28111	658089	1.17e-09	-0.110496974	0.0	-0.623433726	211	1967	838	9469	1.212079472	0.019334272	1.029282575	1.422724369	Bacteroides eggerthii	Lachnospiraceae bacterium 5_1_63FAA
6410	D006262	species	28111	674529	0.0037043	-0.055377843	2.11e-196	-0.527394715	192	1986	567	9740	1.660645129	2.08e-08	1.392608879	1.973836494	Bacteroides eggerthii	Bacteroides faecis
6411	D006262	species	28111	1099853	9.91e-07	-0.096384174	7.88e-138	-0.46481946	130	2048	390	9917	1.61401981	8.84e-06	1.305541046	1.98530199	Bacteroides eggerthii	Coprobacter fastidiosus
6412	D006262	species	28111	1118060	0.004743149	-0.059409549	1.1e-25	-0.217959292	48	2130	80	10227	2.880349112	5.53e-08	1.96448943	4.185046305	Bacteroides eggerthii	Enorma massiliensis phI
6413	D006262	species	28111	1124188	0.00939504	-0.055176639	2.3699999999999998e-23	-0.209320938	16	2162	37	10270	2.054061998	0.02713789	1.064739109	3.792568147	Bacteroides eggerthii	Flavobacterium fontis
6414	D006262	species	28111	1161942	5.04e-09	-0.103071235	0.0	-0.621080303	412	1766	1024	9283	2.114781366	2.3400000000000002e-29	1.861222344	2.400359209	Bacteroides eggerthii	Ruminococcus champanellensis
6415	D006262	species	28111	1288121	2.87e-07	-0.102052236	1.24e-107	-0.419019474	155	2023	340	9967	2.245882538	1.68e-14	1.834028155	2.740781755	Bacteroides eggerthii	Alistipes senegalensis
6416	D006262	species	28111	1465754	8.91e-07	-0.088513916	0.0	-0.633736577	384	1794	895	9412	2.250782554	1.1500000000000001e-31	1.97130412	2.566760105	Bacteroides eggerthii	Alistipes timonensis
6417	D006262	species	28111	1590651	0.00028031	-0.075162473	1.4299999999999998e-91	-0.402564063	57	2121	154	10153	1.771673681	0.000466226	1.279007983	2.425260449	Bacteroides eggerthii	Paenibacillus sp. VKM B-2647
6418	D006262	species	28111	1755610	0.000135823	-0.079878743	4.36e-47	-0.295418769	38	2140	99	10208	1.83082794	0.002970731	1.221365967	2.695139676	Bacteroides eggerthii	Alistipes sp. MC_19
6419	D006262	species	28111	1755629	0.000960008	-0.069062463	2.61e-47	-0.295738569	80	2098	105	10202	3.704396061	1.51e-16	2.723395333	5.022513367	Bacteroides eggerthii	Victivallis sp. MC_44
6533	D006262	species	28117	28127	0.007574278	-0.03065861	5.050000000000001e-21	-0.107722701	146	7395	45	4899	2.14923335	3.12e-06	1.525834202	3.078921647	Alistipes putredinis	Prevotella buccalis
6534	D006262	species	28117	28128	0.006229713	-0.031449636	1.67e-11	-0.077305122	106	7435	23	4921	3.050098613	1.51e-07	1.925983687	5.025960422	Alistipes putredinis	Prevotella corporis
6535	D006262	species	28117	28130	0.013699739	-0.028349661	7.9e-12	-0.078563291	83	7458	19	4925	2.884514863	6.04e-06	1.733732279	5.036974085	Alistipes putredinis	Prevotella disiens
6536	D006262	species	28117	28136	0.014281822	-0.028120252	1.8199999999999997e-23	-0.114219496	109	7432	50	4894	1.435497746	0.034085225	1.01591923	2.052727463	Alistipes putredinis	Prevotella oulorum
6537	D006262	species	28117	28447	7.49e-08	-0.06147217	1.73e-46	-0.16266857	247	7294	104	4840	1.575896362	0.000101307	1.244472775	2.007307417	Alistipes putredinis	Clavibacter michiganensis
6538	D006262	species	28117	29355	0.044702015	-0.023105399	0.001697456	-0.036118041	46	7495	8	4936	3.786454782	0.000119674	1.76763651	9.296514738	Alistipes putredinis	[Clostridium] cellobioparum
6539	D006262	species	28117	29356	0.005608345	-0.031729845	6.8799999999999994e-34	-0.138378928	232	7309	78	4866	1.980085235	7.19e-08	1.521571481	2.600103554	Alistipes putredinis	Clostridium chartatabidum
6540	D006262	species	28117	29375	1.79e-11	-0.076156239	5.7e-121	-0.260746584	653	6888	230	4714	1.942928452	2.57e-18	1.661399191	2.278292324	Alistipes putredinis	[Clostridium] xylanolyticum
6541	D006262	species	28117	33043	0.000119203	-0.043334836	7.32e-67	-0.192814191	1849	5692	338	4606	4.426697609	3.2e-158	3.913421615	5.017394546	Alistipes putredinis	Coprococcus eutactus
6542	D006262	species	28117	35517	7.41e-05	-0.045560871	5.05e-09	-0.067167617	87	7454	18	4926	3.193852589	9.56e-07	1.904170702	5.64709611	Alistipes putredinis	[Eubacterium] brachy
6543	D006262	species	28117	36745	4.15e-29	-0.126382198	6.170000000000001e-144	-0.283499651	612	6929	250	4694	1.658313359	2.09e-11	1.422214737	1.937978888	Alistipes putredinis	Clostridium saccharoperbutylacetonicum
6544	D006262	species	28117	36835	3.17e-10	-0.07116166	1.04e-138	-0.278355314	538	7003	255	4689	1.412622623	7.82e-06	1.209079804	1.653778008	Alistipes putredinis	[Clostridium] colinum
6545	D006262	species	28117	36874	0.004215638	-0.032903226	3.93e-10	-0.071868966	84	7457	21	4923	2.640547429	2.09e-05	1.618914939	4.49238443	Alistipes putredinis	Porphyromonas cangingivalis
6546	D006262	species	28117	39483	2.86e-05	-0.047855041	1.06e-30	-0.131254371	195	7346	97	4847	1.326402186	0.025013505	1.031507459	1.714863752	Alistipes putredinis	Faecalitalea cylindroides
6547	D006262	species	28117	39496	3.91e-30	-0.125296115	7.52e-105	-0.236423709	2697	4844	683	4261	3.473174863	1.0799999999999999e-170	3.160977361	3.819788347	Alistipes putredinis	Eubacterium ventriosum
6548	D006262	species	28117	39497	1.3e-24	-0.116304577	2.11e-47	-0.163690747	965	6576	162	4782	4.331181523	3.5e-83	3.647691763	5.169162605	Alistipes putredinis	Eubacterium xylanophilum
6549	D006262	species	28117	39950	1.17e-12	-0.081193239	4.47e-57	-0.180651263	218	7323	102	4842	1.413123787	0.004481904	1.108703767	1.811044011	Alistipes putredinis	Dialister pneumosintes
6550	D006262	species	28117	40518	2.9599999999999997e-24	-0.106696676	2.92e-65	-0.17821884	4643	2898	1479	3465	3.753016331	6.34e-268	3.474267165	4.055224132	Alistipes putredinis	Ruminococcus bromii
6551	D006262	species	28117	40519	3.54e-59	-0.178133459	1.77e-181	-0.310128372	2739	4802	622	4322	3.962938537	4.46e-202	3.596576264	4.370811319	Alistipes putredinis	Ruminococcus callidus
6552	D006262	species	28117	40545	1.78e-18	0.099295096	2.85e-33	0.135765705	1012	6529	225	4719	3.250434092	7.24e-65	2.796485091	3.791414305	Alistipes putredinis	Sutterella wadsworthensis
6553	D006262	species	28117	43131	0.002546166	-0.034700992	8.41e-12	-0.078454239	83	7458	20	4924	2.739737165	1.63e-05	1.663206248	4.72110706	Alistipes putredinis	Tissierella praeacuta
6554	D006262	species	28117	44742	0.00157903	-0.036356261	9.14e-06	-0.051031636	99	7442	10	4934	6.561781983	1.52e-12	3.418421091	14.12442883	Alistipes putredinis	Desulfovibrio fairfieldensis
6555	D006262	species	28117	47246	6.3e-05	-0.045922441	1.95e-21	-0.108851443	260	7281	45	4899	3.88719606	1.38e-21	2.817567139	5.472660305	Alistipes putredinis	[Clostridium] viride
6556	D006262	species	28117	77095	1.75e-06	-0.054931682	4.72e-24	-0.115926314	101	7440	24	4920	2.782703936	1.25e-06	1.766069714	4.549465351	Alistipes putredinis	Prevotella bryantii
6557	D006262	species	28117	77768	0.000195158	-0.042856835	8.26e-11	-0.074661311	42	7499	10	4934	2.76318891	0.002518879	1.36270307	6.182178363	Alistipes putredinis	Prevotella albensis
6558	D006262	species	28117	87650	0.048837256	-0.022670101	6.09e-06	-0.052024241	54	7487	11	4933	3.234205651	0.000107086	1.669957045	6.865380995	Alistipes putredinis	Facklamia sourekii
6559	D006262	species	28117	89153	0.000180622	-0.043057942	1.38e-13	-0.08495088	84	7457	18	4926	3.082482468	2.08e-06	1.834115451	5.458583427	Alistipes putredinis	[Clostridium] hylemonae
6560	D006262	species	28117	100176	0.004269546	-0.032891719	0.028743242	-0.025176279	99	7442	5	4939	13.13957894	2.1e-16	5.439817046	41.39147861	Alistipes putredinis	Papillibacter cinnamivorans
6561	D006262	species	28117	122355	7.99e-05	-0.04530177	1.14e-25	-0.119910236	92	7449	36	4908	1.683736969	0.008203008	1.131722823	2.553462957	Alistipes putredinis	Pseudomonas psychrophila
6562	D006262	species	28117	143393	5.11e-11	-0.075132964	5.52e-28	-0.12514168	285	7256	81	4863	2.357963048	7.01e-13	1.830984148	3.064854819	Alistipes putredinis	[Eubacterium] sulci
6563	D006262	species	28117	147207	1.91e-05	-0.048809948	4.48e-43	-0.156229406	296	7245	123	4821	1.601286893	1.16e-05	1.289026372	1.998962601	Alistipes putredinis	Collinsella intestinalis
6564	D006262	species	28117	166486	1.78e-10	-0.068504687	1.93e-72	-0.19173952	2730	4811	1112	3832	1.955369632	1.1999999999999999e-60	1.800862307	2.123873952	Alistipes putredinis	Roseburia intestinalis
6565	D006262	species	28117	169435	7.48e-18	-0.095680997	4.64e-114	-0.248910733	2605	4936	517	4427	4.51858495	2.9399999999999997e-221	4.074786371	5.017567172	Alistipes putredinis	Anaerotruncus colihominis
6566	D006262	species	28117	185293	0.000541695	-0.039718191	7.270000000000001e-21	-0.107312321	244	7297	41	4903	3.998366594	7.240000000000001e-21	2.856698142	5.722170034	Alistipes putredinis	Prevotella oryzae
6567	D006262	species	28117	189722	0.002802517	-0.034360968	2.62e-15	-0.090759319	130	7411	22	4922	3.924151716	1.42e-11	2.480495161	6.486833673	Alistipes putredinis	Prevotella marshii
6568	D006262	species	28117	216935	0.015320285	-0.027911949	2.83e-05	-0.048180383	26	7515	5	4939	3.417245851	0.008857992	1.290109335	11.40112117	Alistipes putredinis	Spiroplasma culicicola
6569	D006262	species	28117	216940	0.02855322	-0.025199642	0.001063865	-0.037661664	70	7471	9	4935	5.137142377	4.24e-08	2.553758798	11.71033799	Alistipes putredinis	Spiroplasma lampyridicola
6570	D006262	species	28117	216945	2.04e-21	-0.108197938	2.3999999999999998e-91	-0.228397649	405	7136	130	4814	2.101533308	2.84e-14	1.714466308	2.589681441	Alistipes putredinis	Spiroplasma syrphidicola
6571	D006262	species	28117	216947	0.022458717	-0.026244338	1.19e-15	-0.091864541	89	7452	23	4921	2.555123044	2.37e-05	1.598135514	4.242290588	Alistipes putredinis	Spiroplasma velocicrescens
6572	D006262	species	28117	218538	3.86e-06	-0.048798409	2.9500000000000002e-133	-0.255384031	3173	4368	1409	3535	1.822429098	3.08e-54	1.68651593	1.969611099	Alistipes putredinis	Dialister invisus
6573	D006262	species	28117	228603	6.44e-07	-0.056771075	3.0700000000000004e-85	-0.220579412	341	7200	136	4808	1.674285633	2.96e-07	1.363700519	2.064872988	Alistipes putredinis	Prevotella shahii
6574	D006262	species	28117	253239	0.035819619	-0.024144107	8.54e-06	-0.051176487	140	7401	17	4927	5.481857967	1.22e-15	3.298596357	9.693080209	Alistipes putredinis	Ethanoligenens harbinense
6575	D006262	species	28117	255723	0.001887581	-0.035732681	7.44e-16	-0.092549663	62	7479	19	4925	2.148696805	0.00283524	1.266024396	3.810113007	Alistipes putredinis	Slackia faecicanis
6576	D006262	species	28117	256847	0.019646978	-0.026858569	0.000384553	-0.040864481	21	7520	4	4940	3.448507541	0.014246116	1.162592662	13.82243645	Alistipes putredinis	Lentisphaera araneosa
6577	D006262	species	28117	281920	0.045876982	-0.022976652	5.04e-07	-0.057785951	40	7501	10	4934	2.630926052	0.005331521	1.29143987	5.904608909	Alistipes putredinis	Porphyromonas uenonis
