	phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
1344	D006262	genus	44748	442430	0.023094784	0.045972916	0.001865957	0.062919885	90	2339	13	10043	29.72947357	1.95e-50	16.49547172	58.09058555	Sporobacter	Coraliomargarita
1345	D006262	genus	44748	762551	3.83e-05	-0.082281213	1.3199999999999999e-40	-0.262385327	28	2401	69	9987	1.687834637	0.02751438	1.044765076	2.660678412	Sporobacter	Jejuia
1346	D006262	genus	44748	1279388	3.61e-05	-0.080487127	1.94e-37	-0.245713312	300	2129	199	9857	6.97803759	3.46e-93	5.777858722	8.443317849	Sporobacter	Kandleria
1347	D006262	genus	44748	1291539	1.71e-05	0.087086155	0.002811555	0.060570044	21	2408	2	10054	43.82702407	1.84e-13	10.70155916	385.5272772	Sporobacter	Candidatus Methanomethylophilus
1348	D006262	genus	44748	1505652	0.019816271	-0.047038387	3.62e-13	-0.146055276	15	2414	24	10032	2.597035799	0.006792889	1.264773295	5.165897013	Sporobacter	Terrisporobacter
1349	D006262	genus	44748	1505657	4.16e-05	-0.067544521	1.1400000000000001e-110	-0.356604631	1043	1386	1247	8809	5.314999149	1.76e-228	4.803968431	5.88116477	Sporobacter	Intestinibacter
1350	D006262	genus	44748	1506577	2.9e-07	-0.094658112	7.92e-202	-0.519318872	296	2133	497	9559	2.66877885	6.69e-34	2.285725482	3.112281832	Sporobacter	Tyzzerella
1351	D006262	genus	44748	1573534	0.002116264	-0.061148333	3.39e-44	-0.272433698	54	2375	95	9961	2.383812171	1.77e-06	1.669109423	3.374865549	Sporobacter	Faecalitalea
1352	D006262	genus	44748	1573535	0.000101953	-0.069071754	7.129999999999999e-108	-0.37798385	759	1670	731	9325	5.796567658	1.2499999999999999e-191	5.162969854	6.50900989	Sporobacter	Holdemanella
1358	D006262	genus	52225	59735	0.024086515	-0.097978842	2.49e-14	-0.322953479	7	500	23	11955	7.274041898	0.000157527	2.623373537	17.61943778	Mitsuokella	Bergeyella
1359	D006262	genus	52225	84108	0.002017496	-0.104305407	2.18e-176	-0.775550556	28	479	367	11611	1.849334494	0.004012255	1.198843167	2.752681361	Mitsuokella	Slackia
1360	D006262	genus	52225	102106	0.005423572	-0.038940517	2.7099999999999998e-67	-0.239265617	301	206	4591	7387	2.350891441	1.11e-20	1.954734714	2.831482406	Mitsuokella	Collinsella
1361	D006262	genus	52225	118747	0.007288677	-0.11140999	1.3e-33	-0.472993944	20	487	72	11906	6.788495784	5.64e-10	3.883481911	11.37930421	Mitsuokella	Bulleidia
1362	D006262	genus	52225	123375	0.003276166	-0.124390851	3.5e-37	-0.503774754	9	498	50	11928	4.310334691	0.000574546	1.852903245	8.917650932	Mitsuokella	Solobacterium
1363	D006262	genus	52225	133925	0.007817604	-0.098040371	1.21e-108	-0.698546232	36	471	228	11750	3.938332052	1.47e-10	2.658134258	5.691982977	Mitsuokella	Olsenella
1364	D006262	genus	52225	158846	0.000269374	-0.106912158	1.34e-192	-0.729316004	49	458	650	11328	1.864482769	0.000160557	1.344990515	2.536604375	Mitsuokella	Megamonas
1365	D006262	genus	52225	162289	0.00545172	-0.089305292	7.98e-190	-0.769117643	45	462	460	11518	2.438606493	7.07e-07	1.729735569	3.369592267	Mitsuokella	Peptoniphilus
1366	D006262	genus	52225	165779	0.016275658	-0.092111886	2.27e-82	-0.648438149	22	485	173	11805	3.094797573	1.4e-05	1.87258831	4.891700823	Mitsuokella	Anaerococcus
1367	D006262	genus	52225	241189	0.007806543	-0.099279307	9.02e-131	-0.750550253	18	489	210	11768	2.062687727	0.006235765	1.188780636	3.375279239	Mitsuokella	Hespellia
1368	D006262	genus	52225	256846	0.01684826	-0.103975877	1.13e-15	-0.33908567	4	503	21	11957	4.526506875	0.017256523	1.125584565	13.48995327	Mitsuokella	Lentisphaera
1369	D006262	genus	52225	292632	0.00034373	-0.053455645	1.4999999999999998e-74	-0.267960616	198	309	3974	8004	1.290515103	0.00705356	1.069745082	1.554180164	Mitsuokella	Subdoligranulum
1370	D006262	genus	52225	375288	4.04e-06	-0.047052889	1.08e-37	-0.130506984	416	91	9081	2897	1.458284272	0.001161779	1.154982039	1.8576844	Mitsuokella	Parabacteroides
1371	D006262	genus	52225	459786	5.95e-05	-0.046383503	3.1399999999999997e-40	-0.152571896	331	176	6980	4998	1.346621875	0.001729212	1.114026837	1.632135485	Mitsuokella	Oscillibacter
1372	D006262	genus	52225	572511	0.000269439	-0.035649071	3.44e-18	-0.084968554	457	50	9932	2046	1.882742588	8.56e-06	1.397855018	2.584465728	Mitsuokella	Blautia
1373	D006262	genus	52225	990721	9.17e-09	-0.135529404	9.599999999999999e-196	-0.627429727	96	411	1276	10702	1.958952006	6.15e-08	1.540272619	2.471821995	Mitsuokella	Christensenella
1374	D006262	genus	52225	1279388	1.41e-05	-0.140306548	4.27e-169	-0.745065314	55	452	444	11534	3.160488799	1.1e-11	2.307142595	4.262691482	Mitsuokella	Kandleria
1375	D006262	genus	52225	1573535	7.48e-10	-0.140979056	4.22e-198	-0.61627702	107	400	1383	10595	2.049151347	1.87e-09	1.627677258	2.562429646	Mitsuokella	Holdemanella
1427	D006262	genus	61170	75309	6.54e-06	-0.172916461	1.29e-18	-0.330719929	5	641	26	11813	3.543390447	0.020293029	1.059098668	9.421618273	Holdemania	Rhodanobacter
1428	D006262	genus	61170	102106	1.03e-15	-0.110387301	1.82e-133	-0.329757067	285	361	4607	7232	1.239268935	0.009093156	1.052518816	1.458148572	Holdemania	Collinsella
1429	D006262	genus	61170	216851	3.75e-07	-0.049953946	1.64e-06	-0.047124823	626	20	9691	2148	6.93704701	6.440000000000001e-31	4.439790639	11.46454383	Holdemania	Faecalibacterium
1430	D006262	genus	61170	239759	9.67e-30	0.117593344	4e-18	0.090232345	600	46	8570	3269	4.975277867	7.61e-38	3.671772157	6.888323285	Holdemania	Alistipes
1431	D006262	genus	61170	283168	1.62e-13	-0.097519417	4.3999999999999995e-61	-0.215926207	375	271	5051	6788	1.859495398	2.36e-14	1.579356844	2.191689731	Holdemania	Odoribacter
1432	D006262	genus	61170	375288	2.11e-51	0.15345832	1.27e-22	0.099929386	595	51	8902	2937	3.849061468	1.82e-27	2.87888691	5.245138437	Holdemania	Parabacteroides
1433	D006262	genus	61170	674963	1.01e-05	-0.169681894	1.15e-16	-0.312708065	8	638	24	11815	6.170845773	0.000171044	2.386732766	14.27383421	Holdemania	Succinatimonas
1571	D006262	genus	117563	150022	0.000590353	-0.166782305	3.96e-78	-0.752867372	10	277	134	12064	3.249598452	0.00180294	1.506734576	6.253579059	Granulicatella	Finegoldia
1572	D006262	genus	117563	160795	3.17e-05	-0.226578686	1.29e-24	-0.522801807	8	279	44	12154	7.91743058	2.21e-05	3.18880036	17.21030191	Granulicatella	Ureibacillus
1573	D006262	genus	117563	162289	0.021484095	-0.084518017	2.97e-79	-0.618304496	52	235	453	11745	5.73521942	2.78e-20	4.102564103	7.90169532	Granulicatella	Peptoniphilus
1574	D006262	genus	117563	165779	0.000860733	-0.15370374	1.75e-100	-0.789132186	15	272	180	12018	3.681572418	4.43e-05	1.990896856	6.343136298	Granulicatella	Anaerococcus
1575	D006262	genus	117563	172900	0.009416717	-0.124511769	4.08e-45	-0.607424483	38	249	147	12051	12.50183416	1.11e-25	8.326726785	18.41496443	Granulicatella	Victivallis
1576	D006262	genus	117563	184869	0.00053983	-0.177381779	5.14e-54	-0.687299979	11	276	90	12108	5.359753854	1.98e-05	2.554493595	10.20554104	Granulicatella	Varibaculum
1577	D006262	genus	117563	195950	0.003237771	-0.158315287	1.15e-34	-0.597503276	5	282	57	12141	3.7760308	0.013802554	1.172059426	9.439828015	Granulicatella	Tannerella
1578	D006262	genus	117563	239934	0.001707481	-0.047053522	2.94e-36	-0.187044775	152	135	4155	8043	2.17938877	9.31e-11	1.711596618	2.777458478	Granulicatella	Akkermansia
1579	D006262	genus	117563	244127	0.021926964	-0.038003634	8.99e-16	-0.13278785	160	127	3349	8849	3.328302035	3.9299999999999995e-23	2.61117757	4.25026503	Granulicatella	Anaerotruncus
1580	D006262	genus	117563	283168	3.58e-07	-0.06818921	1.2800000000000002e-47	-0.192597217	151	136	5275	6923	1.457102245	0.001707021	1.144762683	1.856194451	Granulicatella	Odoribacter
1581	D006262	genus	117563	397864	0.004604394	-0.03925742	4.77e-38	-0.177316963	135	152	4921	7277	1.313328595	0.024325292	1.030797622	1.671956338	Granulicatella	Barnesiella
1582	D006262	genus	117563	442430	9.55e-07	-0.248909032	4.66e-61	-0.717670239	12	275	91	12107	5.803575906	4.1e-06	2.858300002	10.7987406	Granulicatella	Coraliomargarita
1583	D006262	genus	117563	508459	0.001615712	-0.176954018	6.26e-18	-0.460378758	7	280	28	12170	10.86083636	1.22e-05	3.970072748	25.71396842	Granulicatella	Cloacibacillus
1584	D006262	genus	117563	577310	6.23e-05	-0.06722552	2.79e-78	-0.307188492	100	187	3255	8943	1.469183584	0.002953741	1.136820661	1.889651582	Granulicatella	Parasutterella
1585	D006262	genus	117563	990721	0.048639693	-0.050253557	1.7800000000000001e-43	-0.341919475	119	168	1253	10945	6.185350032	2.02e-41	4.812985398	7.930374652	Granulicatella	Christensenella
1586	D006262	genus	117563	1164882	0.004217209	0.165588154	1.66e-05	0.24704514	40	247	10	12188	196.3652277	1.5e-57	95.3731232	441.2458005	Granulicatella	Lachnoanaerobaculum
1587	D006262	genus	117563	1279388	2.29e-08	-0.201621225	1.29e-136	-0.748756223	31	256	468	11730	3.034646378	4.63e-07	1.996666675	4.474936058	Granulicatella	Kandleria
1588	D006262	genus	117563	1291539	0.013426619	-0.14119816	3.1e-11	-0.367808331	4	283	19	12179	9.055185874	0.001714708	2.226009088	27.49225633	Granulicatella	Candidatus Methanomethylophilus
1589	D006262	genus	117563	1505657	1.46e-05	-0.086881733	1.22e-76	-0.359508606	94	193	2196	10002	2.218159361	2.83e-09	1.707184267	2.865780248	Granulicatella	Intestinibacter
1590	D006262	genus	117563	1505663	0.000215442	-0.058054365	3.17e-33	-0.186916789	177	110	3771	8427	3.595386545	6e-26	2.808898293	4.618072057	Granulicatella	Erysipelatoclostridium
1591	D006262	genus	117563	1506553	0.005493249	-0.037000297	1.14e-05	-0.058461613	210	77	5343	6855	3.498714804	2.6199999999999998e-23	2.675233568	4.61509204	Granulicatella	Lachnoclostridium
1660	D006262	genus	172900	184869	0.000887743	-0.197562238	1.02e-57	-0.776578174	6	179	95	12205	4.305255126	0.003865906	1.521224918	9.905493911	Victivallis	Varibaculum
1661	D006262	genus	172900	195950	0.033912685	-0.136137008	4.0400000000000004e-35	-0.685870639	4	181	58	12242	4.663740162	0.013351196	1.216488059	12.79746058	Victivallis	Tannerella
1662	D006262	genus	172900	283168	0.024006187	-0.030544932	2.5e-09	-0.080568847	151	34	5275	7025	5.914835424	8.130000000000001e-27	4.046446473	8.867545291	Victivallis	Odoribacter
1663	D006262	genus	172900	423604	0.049445785	-0.135761043	2.41e-13	-0.47725681	9	176	25	12275	25.08032407	1.08e-09	10.14610903	56.60229981	Victivallis	Elusimicrobium
1664	D006262	genus	172900	459786	3.89e-18	0.101286492	1.6499999999999999e-38	0.150916597	184	1	7127	5173	134.0571043	6.71e-42	23.64867903	5143.724196	Victivallis	Oscillibacter
1665	D006262	genus	172900	501783	0.023440955	-0.153105821	1.83e-24	-0.618051223	4	181	34	12266	7.968951962	0.002324079	2.033122041	22.67230671	Victivallis	Cloacibacterium
1666	D006262	genus	172900	508459	0.011047159	-0.175048433	1.11e-12	-0.465352718	10	175	25	12275	27.99523403	5.33e-11	11.81863219	61.49218456	Victivallis	Cloacibacillus
1667	D006262	genus	172900	572511	0.005839598	-0.027042537	0.002072636	-0.030209445	184	1	10205	2095	37.80843562	8.7e-14	6.685652357	1490.610728	Victivallis	Blautia
1668	D006262	genus	172900	577309	0.034331461	-0.038382184	5.25e-19	-0.160558276	99	86	2855	9445	3.807529286	1.33e-18	2.814419977	5.160091637	Victivallis	Paraprevotella
1669	D006262	genus	172900	577310	0.001800664	-0.053014554	9.35e-48	-0.243047224	76	109	3279	9021	1.91821954	2.55e-05	1.407912427	2.602221811	Victivallis	Parasutterella
1670	D006262	genus	172900	990721	0.034064461	-0.055488635	3.93e-18	-0.22454959	98	87	1274	11026	9.745400406	7.7e-46	7.180809776	13.24186887	Victivallis	Christensenella
1671	D006262	genus	172900	1279388	3.9e-05	-0.160711911	4.52e-75	-0.636703745	35	150	464	11836	5.949731304	9.59e-15	3.948882664	8.760145266	Victivallis	Kandleria
1672	D006262	genus	172900	1505657	0.001087137	-0.066646863	6.95e-45	-0.281277666	75	110	2215	10085	3.104105327	1.68e-12	2.274409789	4.216834851	Victivallis	Intestinibacter
1673	D006262	genus	172900	1505663	0.005429941	-0.043915378	4.18e-24	-0.159016148	126	59	3822	8478	4.736560743	1.6099999999999998e-24	3.441272796	6.583676854	Victivallis	Erysipelatoclostridium
1674	D006262	genus	172900	1508657	1.42e-09	0.080283173	2.35e-11	0.088603158	180	5	5483	6817	44.70674504	2.98e-55	18.81204662	139.5501685	Victivallis	Ruminiclostridium
1675	D006262	genus	172900	1573534	0.000982057	-0.181428031	3.67e-80	-0.818324843	7	178	142	12158	3.366448102	0.006729796	1.310448194	7.262828243	Victivallis	Faecalitalea
1676	D006262	genus	172900	1573535	0.000171013	-0.093592628	5.75e-50	-0.358531331	67	118	1423	10877	4.339538617	6.21e-18	3.149302241	5.938312179	Victivallis	Holdemanella
1712	D006262	genus	239759	442430	0.000636475	-0.035653777	4.25e-07	-0.052771632	99	9071	4	3311	9.033190878	1.71e-09	3.414785734	33.83445612	Alistipes	Coraliomargarita
1713	D006262	genus	239759	447020	1.16e-13	0.077321704	1.28e-49	0.153599338	504	8666	18	3297	10.65169202	9.95e-47	6.656568453	18.14898745	Alistipes	Adlercreutzia
1714	D006262	genus	239759	577309	2.04e-21	0.098162713	0.003848223	-0.029922144	2795	6375	159	3156	8.701334446	8.939999999999999e-243	7.369430608	10.3343528	Alistipes	Paraprevotella
1715	D006262	genus	239759	1017280	1.3e-08	0.059319651	0.002292433	0.031834242	42	9128	4	3311	3.808542662	0.004041628	1.38024274	14.6281118	Alistipes	Pseudoflavonifractor
1716	D006262	genus	239759	1279388	2.17e-11	-0.069424426	4.65e-64	-0.174114504	391	8779	108	3207	1.32247506	0.01118233	1.061767651	1.658632609	Alistipes	Kandleria
1717	D006262	genus	239759	1348911	5.41e-15	0.081461332	2.93e-60	0.169680543	510	8660	10	3305	19.4615781	1.4599999999999999e-55	10.47627144	40.89193992	Alistipes	Coprobacter
1718	D006262	genus	239759	1505657	2.97e-24	-0.102794437	2.2199999999999997e-189	-0.291266345	1739	7431	551	2764	1.173936739	0.002830019	1.055588772	1.306768242	Alistipes	Intestinibacter
1719	D006262	genus	239759	1506577	1.11e-08	-0.05910689	2.95e-86	-0.201715888	633	8537	160	3155	1.462100115	1.82e-05	1.221152076	1.7585316	Alistipes	Tyzzerella
1720	D006262	genus	239759	1508657	1.03e-41	-0.135079747	5.99e-165	-0.269427628	4889	4281	774	2541	3.749226661	5.36e-203	3.422501341	4.109223825	Alistipes	Ruminiclostridium
1754	D006262	genus	283168	442430	0.001305224	-0.043460819	8.07e-17	-0.112312068	60	5366	43	7016	1.824284316	0.002661076	1.21066509	2.76966266	Odoribacter	Coraliomargarita
1755	D006262	genus	283168	762551	0.030499829	-0.029264157	5.5e-07	-0.067675543	57	5369	40	7019	1.862803011	0.002723872	1.219712988	2.869385598	Odoribacter	Jejuia
1756	D006262	genus	283168	1279388	6.92e-12	-0.091004842	6.79e-120	-0.302261648	265	5161	234	6825	1.4975351	1.13e-05	1.24658332	1.800012775	Odoribacter	Kandleria
1757	D006262	genus	283168	1348911	1.82e-06	0.064247178	3.2099999999999997e-24	0.136172702	436	4990	84	6975	7.252778821	6.51e-84	5.714201816	9.300400532	Odoribacter	Coprobacter
1758	D006262	genus	283168	1508657	8.46e-54	-0.168149415	0.0	-0.454558519	2772	2654	2891	4168	1.505724834	1.8500000000000002e-29	1.401253112	1.618172564	Odoribacter	Ruminiclostridium
1798	D006262	genus	459786	574697	0.013690668	-0.028637898	1.29e-13	-0.085908371	858	6453	99	5075	6.81510184	1.01e-107	5.5095428	8.506169497	Oscillibacter	Butyricimonas
1799	D006262	genus	459786	644652	3.58e-11	0.076956149	9.36e-14	-0.086557261	169	7142	71	5103	1.700651092	0.000152659	1.278358898	2.282275487	Oscillibacter	Gordonibacter
1800	D006262	genus	459786	1348911	0.000355285	-0.041328573	3.4199999999999996e-23	-0.114467246	368	6943	152	5022	1.751108788	4.96e-09	1.440400901	2.137246576	Oscillibacter	Coprobacter
1801	D006262	genus	459786	1505657	6.5e-05	-0.04471231	5.2199999999999996e-54	-0.172016662	1627	5684	663	4511	1.947456465	2.5899999999999998e-42	1.763413481	2.152385192	Oscillibacter	Intestinibacter
1802	D006262	genus	459786	1506577	6.16e-06	-0.051904571	7.32e-65	-0.193533406	525	6786	268	4906	1.416204004	5.36e-06	1.214341102	1.654552373	Oscillibacter	Tyzzerella
1803	D006262	genus	459786	1573535	0.000178857	-0.043123324	1.64e-12	-0.081180542	1255	6056	235	4939	4.354615777	2.58e-113	3.765908703	5.052152718	Oscillibacter	Holdemanella
1851	D006262	genus	990721	1236988	0.048028883	-0.052625694	2.96e-22	-0.254166545	18	1354	40	11073	3.679484668	2.97e-05	1.97951309	6.589767003	Christensenella	Geofilum
1852	D006262	genus	990721	1279388	6.79e-09	-0.139293205	9.119999999999999e-128	-0.535043877	154	1218	345	10768	3.946004786	4.64e-35	3.211517518	4.831438845	Christensenella	Kandleria
1853	D006262	genus	990721	1486726	5.87e-31	0.304622091	0.00313807	0.079548391	23	1349	5	11108	37.84319507	4.22e-18	14.051242	128.1282888	Christensenella	Pseudobacteroides
1854	D006262	genus	990721	1505652	0.023964311	-0.060316973	9.79e-18	-0.22635309	10	1362	29	11084	2.805884912	0.007996799	1.217160847	5.939159307	Christensenella	Terrisporobacter
1855	D006262	genus	990721	1505657	4.37e-17	-0.145392027	0.0	-0.61567832	355	1017	1935	9178	1.655595433	1.96e-13	1.44888933	1.888827249	Christensenella	Intestinibacter
1856	D006262	genus	990721	1506577	8.05e-07	-0.108454985	0.0	-0.737895527	105	1267	688	10425	1.255715994	0.039888709	1.004385825	1.557717197	Christensenella	Tyzzerella
1857	D006262	genus	990721	1508657	4.0899999999999997e-140	0.325240458	1.56e-193	0.378994428	1353	19	4310	6803	112.2862158	0.0	71.68515913	186.6351087	Christensenella	Ruminiclostridium
1858	D006262	genus	990721	1573534	0.006893934	-0.06992316	5.520000000000001e-66	-0.423477033	29	1343	120	10993	1.978047878	0.002140953	1.265600191	3.001524857	Christensenella	Faecalitalea
1865	D006262	genus	1291539	1573535	0.034438505	-0.05459305	1.81e-06	-0.122860439	12	11	1478	10984	8.104631716	3.05e-06	3.267288479	20.30469384	Candidatus Methanomethylophilus	Holdemanella
